ImageNames,date,POT,Temperature,Irradiance,OT
20180203093500.jpg,2018/2/3 9:35,-11.12,-11.3,72,2.4937
20180203094000.jpg,2018/2/3 9:40,-10.99,-11.1,74,2.60805
20180203094500.jpg,2018/2/3 9:45,-10.88,-11.05,78.5,2.71205
20180203095000.jpg,2018/2/3 9:50,-10.745,-10.9,83.5,2.8392
20180203095500.jpg,2018/2/3 9:55,-10.56,-10.9,90,2.9402
20180203100000.jpg,2018/2/3 10:00,-10.47,-10.9,98.66666667,3.2455
20180203100500.jpg,2018/2/3 10:05,-10.215,-10.7,116,3.89785
20180203101000.jpg,2018/2/3 10:10,-9.82,-10.6,131,4.52505
20180203101500.jpg,2018/2/3 10:15,-9.52,-10.5,130,4.7502
20180203102000.jpg,2018/2/3 10:20,-9.26,-10.3,134,4.7704
20180203102500.jpg,2018/2/3 10:25,-9.12,-10.5,141,5.2204
20180203103000.jpg,2018/2/3 10:30,-8.886666667,-10.3,169,6.387133333
20180203103500.jpg,2018/2/3 10:35,-8.37,-10.3,168,6.5228
20180203104000.jpg,2018/2/3 10:40,-8.21,-10,165,6.3179
20180203104500.jpg,2018/2/3 10:45,-8.2,-10,170.5,6.33955
20180203105000.jpg,2018/2/3 10:50,-8.23,-10.4,206,7.46545
20180203105500.jpg,2018/2/3 10:55,-7.56,-9.9,232,9.4171
20180203110000.jpg,2018/2/3 11:00,-6.503333333,-9.566666667,276.6666667,12.15176667
20180203110500.jpg,2018/2/3 11:05,-5.88,-9.6,310,14.1952
20180203111000.jpg,2018/2/3 11:10,-5.12,-9.3,309,14.8364
20180203111500.jpg,2018/2/3 11:15,-4.55,-9.25,256,12.35555
20180203112000.jpg,2018/2/3 11:20,-4.86,-9.4,202,8.6984
20180203112500.jpg,2018/2/3 11:25,-5.725,-9.45,228.5,9.81675
20180203113000.jpg,2018/2/3 11:30,-5.45,-9.7,227,10.3332
20180203113500.jpg,2018/2/3 11:35,-5.475,-9.5,219,9.87375
20180203114000.jpg,2018/2/3 11:40,-5.63,-9.1,206.5,9.23025
20180203114500.jpg,2018/2/3 11:45,-5.955,-9.6,194.5,7.86495
20180203115000.jpg,2018/2/3 11:50,-6.31,-9.6,197,8.14215
20180203115500.jpg,2018/2/3 11:55,-6.3,-9.35,206,8.1348
20180203120000.jpg,2018/2/3 12:00,-6.1,-9.2,228,9.2893
20180203120500.jpg,2018/2/3 12:05,-5.775,-8.8,234.5,9.81945
20180203121000.jpg,2018/2/3 12:10,-5.75,-9.05,214.5,8.28925
20180203121500.jpg,2018/2/3 12:15,-5.94,-9.3,221,8.3911
20180203122000.jpg,2018/2/3 12:20,-6.15,-9.05,225.5,9.4435
20180203122500.jpg,2018/2/3 12:25,-6.13,-9.05,210,8.725
20180203123000.jpg,2018/2/3 12:30,-6.25,-8.8,183,6.7996
